psychological_safety,clinical_curiosity,decision_confidence,team_cohesion,leadership_support,reflective_practice,adaptive_focus,professional_vitality,cognitive_agility,service_excellence
41.97,45.83,48.35,0,1,29.03,30.94,24.6,15.59,1
66.97,68.02,74.57,1,0,54.08,31.65,36.48,36.99,1
58.4,75.37,69.16,1,1,38.29,40.74,35.41,31.64,1
36.92,57.86,54.24,0,1,30,33.73,27.66,14.69,1
48.06,51.92,52.17,1,1,43.12,34.57,28.59,23.97,1
74.82,78.43,77.42,1,0,58.24,40.38,39.29,30.84,1
25.88,47.19,47.34,0,1,33.98,36.39,26.55,14.59,0
49.85,64.74,63.89,1,1,33.9,46.15,32.33,21.88,1
70.19,67.88,70.4,1,0,54.77,46.44,38.87,31.22,1
44.6,60.01,51.37,0,1,28.54,37.27,28.6,20.92,1
46.85,56.49,61.03,0,0,40.78,28.31,28.31,25.87,1
53.86,72.59,61.43,1,0,45.45,26.36,26.09,18.38,1
72.9,78.47,74.88,1,0,56.58,37.73,36.57,30.13,1
47.33,62.66,67.55,0,0,31.05,37.77,21.15,15.38,1
49.67,61.6,64.27,0,1,29.91,35.54,15.3,12.17,1
49.79,66.34,71.59,1,0,44.71,35.47,36.11,20.62,1
81.47,81.49,77.79,1,0,61.6,40.11,35.85,25.61,1
81.24,89.94,82,0,1,43.89,43.57,28.02,18.67,1
67.05,82.54,83.04,1,1,52.72,54.04,41.42,32.29,1
59.63,80.74,75.07,0,1,39.72,34.41,28.57,22.33,1
63.85,82.39,86.66,0,1,42.68,55.29,35,25.78,1
72.89,76.45,70.67,1,1,53.24,54.52,39.75,30.12,1
43.77,61.29,63.32,0,1,29.78,40.35,27.35,18.3,1
69.11,81.68,80.38,1,0,46.78,39.18,47.77,23.42,1
39.95,58.51,63.12,0,1,27.53,39.59,28.3,21.19,1
47.35,65.03,65.72,0,0,36.05,33.97,27.81,27.13,1
65.89,76.96,77.35,1,0,60.61,42.1,39.78,29.95,1
37.86,50.12,52.91,1,0,39.44,29.86,18.29,13.65,1
53.32,66.23,69.69,0,1,27.57,38.66,27.79,21.83,1
44.66,63.57,58.82,0,0,37.91,35.63,23.64,26.78,1
51.93,66.72,69.35,0,1,37.79,37.57,23.27,20.63,1
21.42,34.48,48.76,0,1,27.1,32.65,23.36,24.74,0
33.74,45.04,44.76,0,1,36.55,34.48,25.59,28.55,0
46.6,57.5,61.86,0,0,39.58,38.97,32.99,28.26,0
66.13,73.37,74.1,0,1,44.7,44.45,27.42,21.44,1
52.92,65.63,59.67,0,1,36.48,42.4,32.65,17,1
55.03,60.41,62.55,1,0,50.71,32.3,23.52,17.84,1
63.26,77.21,77.82,0,0,39.84,43.88,20.82,16.37,1
44.45,47.19,55.93,1,0,39.67,31.87,21.21,21.87,1
58.4,71.97,64.88,1,0,52.33,37.72,26.32,27.4,1
45.34,62.04,61.87,0,1,37.53,42.82,34.91,19.96,1
34.27,54.57,55.98,0,1,24.47,38.97,26.41,21.38,1
50.31,44.33,56.58,0,0,39.24,27.09,27.89,18.28,0
61.89,63.32,65.58,0,1,36.47,36.85,29.18,17.57,1
59.06,67.18,63.93,0,0,36.92,33.18,15.98,9.03,1
54.86,67.15,71.26,0,0,40.57,32.95,20.82,13.17,1
83.71,87.29,78.58,0,0,62.8,50.36,44.42,39.18,1
59.95,65.08,62.61,0,0,45.6,30.25,33.15,22.57,1
66.74,82.76,81.06,1,0,52.62,40.14,41.56,22.02,1
81.86,88.34,85.72,0,0,42.64,45.12,33.36,20.79,1
39.47,52.23,54.36,0,0,27.36,26.26,22.18,18.47,0
42.53,50.98,49.67,0,1,32.18,28.08,20.63,8.89,1
75.92,82.35,83.86,0,0,49.97,44.74,47.11,28.69,1
45.42,66.62,65.89,0,1,31.45,40.85,27.61,17.6,1
55.36,66.73,75.31,1,1,37.15,48.36,34.04,26.52,1
67.83,75.68,77.08,1,1,48.99,48.04,40.49,26.97,1
65.69,74.66,65.57,1,0,50.18,45.75,39.22,26.03,1
76.06,82.77,80.06,1,1,52.05,49.48,52.28,36.58,1
72.95,78.31,75.87,0,0,49.1,31.45,25.3,34.97,1
67.83,70.04,69.69,1,1,46.9,41.33,26.46,26.53,1
45.73,68.47,63.1,0,0,31.87,37.04,26.22,16.1,1
64.54,77.23,74.43,0,1,40.05,46.11,37.57,26.59,1
58.77,81.78,70.98,1,1,37.57,42.27,34.1,26.88,1
39.08,57.3,48.34,1,1,35.49,23.06,30.53,18.84,1
72.01,77.62,77.73,1,0,53.5,39.96,38.42,29.87,1
64.69,67.84,73.96,1,0,55.48,42.52,26.91,29.64,1
55.55,64.68,66.76,1,1,48.89,46.24,37.93,20.64,1
52.2,57.23,61.01,1,1,44.76,35.56,31.44,25.74,1
40.62,68.05,58.74,0,1,28.85,44.48,31.51,12.59,1
57.39,67.94,71.03,0,0,40.91,37.4,25.25,21.45,1
60.62,75.18,61.66,0,1,41.73,40.01,23.52,14.36,1
45.03,64.54,71.93,1,1,31.08,44.54,41.13,22.97,1
68.95,83.2,75.22,1,1,45.74,44.55,34.22,29.6,1
41.83,71.66,68.44,0,0,19.71,29.71,19.92,15.41,1
29.52,46.57,45.71,0,0,30.02,21.27,18,10.85,0
67.48,74.52,73.39,0,0,29.99,32.66,27.34,10.96,1
50.16,63.61,60.81,1,0,53.81,30.17,29.59,27.17,1
53.49,69.61,56.64,0,0,40.06,32.46,34.18,20.76,1
44.95,59.79,62.26,0,0,31.9,37.46,39.69,27.23,1
35.73,50.18,46.19,1,0,39.5,16.9,25.91,19.5,1
70.06,73.25,67.06,0,0,40.24,26.69,22.25,28.94,1
46.73,55.4,54.73,1,0,37.37,30.97,24.18,18.48,1
74.93,82.82,77.85,0,0,49.32,43.89,28.89,23.11,1
64.69,67.52,70.07,1,1,48.06,41.44,36.34,33.61,1
51.22,52.53,54.14,0,1,34.91,29.49,29.98,22.93,1
41.97,57.17,70.35,0,0,27.52,31.7,28.45,18.41,1
46.21,66.63,55.5,1,1,38.6,31.55,32.37,16.63,1
40.45,59.31,56.1,0,0,30.46,26.85,22.18,16.77,1
80.05,84.93,84.15,0,1,57,57.42,51.45,35.63,1
56.97,70.15,73.27,1,0,47.14,38.32,34.79,25.61,1
68.8,66.72,72.04,1,1,49.51,44.78,39.06,28.77,1
39.79,50.71,57.07,0,1,32.65,30.91,20.68,20.99,1
57.17,77.95,68.7,0,0,34.78,40.56,31.28,24.54,1
69.13,83.96,81.44,1,1,51.05,46.35,35.93,21.09,1
50.98,58.97,66.69,1,0,55.02,36.13,35.86,25.74,1
67.37,86.06,81.64,0,0,39.19,41.63,36.26,27.37,1
41.99,52.18,66.17,1,0,40.89,31.07,21.16,18.9,1
38.64,49.04,51.33,0,0,27.7,27.67,23.69,18.04,0
59.55,78.88,71.62,1,1,44.94,44.56,38.93,23.58,1
50.45,70.68,57.88,0,0,33.65,21.01,23.69,25.31,1
62.7,68.5,66.15,1,0,39.31,32.23,36.22,27.87,1
31.27,48.15,51.87,0,0,20.15,24.85,16.63,20.39,1
63.55,70.61,74.21,1,1,53.24,40.88,41.51,40.01,1
86.18,92.66,94.49,1,0,59.79,48.77,47.2,34.25,1
54.7,75.43,71.27,0,0,30.78,31.47,27.2,14.15,1
55.41,69.75,64.37,0,1,28.55,38.74,27.64,21.66,1
57.15,67.18,59.65,1,1,44.05,36.12,28.91,28.96,1
32.66,41.41,45.03,0,0,24.83,26.28,29.91,25.67,1
